"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"0610005C13Rik",6.14280107084593,-0.858954033345872,1.36019382561204,-0.631493848282522,0.527717670293926,0.743317420243824
"0610009B22Rik",749.85357193825,0.00528849666355834,0.155798637965802,0.0339444345124454,0.972921459970648,0.988902938734836
"0610009E02Rik",10.5088653786359,0.327062754099098,0.923054254061811,0.35432668519742,0.723094071420384,0.868323913716687
"0610009L18Rik",31.7326087243063,0.878185273543479,0.371971751416827,2.36089238012968,0.0182310204151104,0.0800660077713068
"0610010F05Rik",453.365497814395,0.166817868319014,0.236792040407762,0.704491029477806,0.481127034567541,0.710216419955181
"0610010K14Rik",1213.99439924358,0.101342951882799,0.116251822489245,0.871753661257004,0.38334277905725,0.625820039157385
"0610012G03Rik",549.287098167588,0.340599193217653,0.136702844209729,2.49152967655235,0.0127194340836481,0.061390270768018
"0610030E20Rik",931.467947127788,-0.36010778006582,0.162179816094959,-2.22042291535816,0.0263900729477518,0.105152480856896
"0610039K10Rik",11.0291810287959,0.419613537800104,0.590645440823969,0.71043219636933,0.477436163446642,0.707265946248213
"0610040B10Rik",65.2456181464949,0.220424281333363,0.47274042965988,0.466269156399318,0.641022853352815,0.820467189476118
"0610040J01Rik",7519.03653596756,-0.258486050410721,0.0642366049015837,-4.02396812233064,5.72256665034806e-05,0.000813660378026159
"1010001B22Rik",5.25457263344478,1.31562444433913,1.25966540008914,1.04442373684792,0.296289386222157,NA
"1110002L01Rik",127.965185059813,-0.36352262871028,0.52590787980501,-0.691228716415244,0.48942182032426,0.715456581651513
"1110004F10Rik",2741.86867427057,-0.181691415757271,0.126757536547298,-1.43337761766516,0.151749951250176,0.355345574952418
"1110006O24Rik",49.5256582184497,-0.223541770719389,0.343075340301072,-0.651582158377272,0.514670760515871,0.734351980099691
"1110008P14Rik",47.3706602763134,1.06590868908841,0.289374924481963,3.68348671190705,0.000230065282299102,0.00257274003758662
"1110012L19Rik",376.132966965732,0.228460646015723,0.209376181496289,1.09114916693507,0.275207251283218,0.517964461707662
"1110013H19Rik",13.9606926387931,-0.143851804633038,0.546676989679624,-0.26313857606727,0.79244377191722,0.90572722648249
"1110019D14Rik",101.244271336442,0.155278320515665,0.364131888509536,0.426434282235621,0.669791425280063,0.837348571576232
"1110020A21Rik",4.23405014165027,2.35057668026259,1.76734131708633,1.33000720208239,0.183515898373922,NA
"1110032A03Rik",592.707479236047,0.288393123679406,0.185209252616382,1.55712049806035,0.119441879197375,0.304347532550057
"1110035H17Rik",20.5179060024992,-0.0942798836762715,0.721498747160626,-0.130672276351551,0.896034564525678,0.955587499272408
"1110038B12Rik",24.1344653186691,0.549318324843362,0.750785020489169,0.731658610457435,0.464376964949466,0.696851297822322
"1110038F14Rik",538.071937943689,0.0999505483285445,0.130491202895271,0.765956218587105,0.443702353201302,0.680114196067089
"1110046J04Rik",2.86599437348835,3.9101061059217,3.0963249612579,1.26282162074267,0.206653292817616,NA
"1110051M20Rik",526.932953150507,0.132954889462581,0.195315997237153,0.680716845231815,0.496050675322329,0.720356054881597
"1110059E24Rik",681.314553471841,-0.244034038603271,0.163789060710202,-1.48992879954938,0.136242958149423,0.331305096471107
"1110059G10Rik",971.038218463032,-0.102904199282244,0.15339928240683,-0.670825819180377,0.502331497377576,0.725704203947693
"1110065P20Rik",111.25913537009,0.369831336198407,0.265040206345434,1.39537823826019,0.162901810126522,0.371081799214475
"1190005I06Rik",3.29143052495865,3.4486154877154,1.61173256454992,2.13969461408657,0.0323794546056759,NA
"1190007I07Rik",101.93500245034,0.379725629186553,0.247675928820295,1.53315516366578,0.125237628536607,0.314454330228244
