"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"0610005C13Rik",6.14280107084593,-0.405054683836296,2.34076906109335,-0.173043420031833,0.86261729815071,NA
"0610009B22Rik",749.85357193825,-0.0947782364857465,0.270056357268327,-0.350957249977179,0.725620420463034,0.930809830919254
"0610009E02Rik",10.5088653786359,-3.14654040223157,1.69870221670429,-1.85232018377905,0.0639798590549378,0.362026878525652
"0610009L18Rik",31.7326087243063,1.27785789312078,0.653999429421723,1.95391285624008,0.0507115238966761,0.322357732509859
"0610010F05Rik",453.365497814395,0.447749589142988,0.410146216403325,1.09168284683793,0.274972527266758,0.688830015177096
"0610010K14Rik",1213.99439924358,-0.0176946579244632,0.201634901622883,-0.0877559280761691,0.930070666864651,0.985899446999667
"0610012G03Rik",549.287098167588,0.176933408869889,0.237639735486181,0.744544713904456,0.456547000696868,0.817626604999752
"0610030E20Rik",931.467947127788,-0.317500821355746,0.280574544885475,-1.13160950322612,0.257798642980889,0.667153448419235
"0610039K10Rik",11.0291810287959,0.523080502562784,1.0328737955341,0.506432155433182,0.612553305929646,0.88339958210834
"0610040B10Rik",65.2456181464949,-0.0105828633515206,0.819975879871066,-0.012906310552921,0.989702539953239,0.997431832898863
"0610040J01Rik",7519.03653596756,-0.21915898194689,0.111197415597952,-1.9708999599351,0.0487353197235419,0.315309980666462
"1010001B22Rik",5.25457263344478,0.761923955152003,2.22423807182226,0.342555037072887,0.731933232721752,NA
"1110002L01Rik",127.965185059813,-0.422754482308174,0.909415777615962,-0.464863808957028,0.642028989170399,0.897360805041819
"1110004F10Rik",2741.86867427057,-0.334515333693998,0.219529572953617,-1.5237825555497,0.12756303864879,0.502362715862564
"1110006O24Rik",49.5256582184497,-0.872249627087614,0.596393226485147,-1.46254113620343,0.143592980325627,0.528041005453737
"1110008P14Rik",47.3706602763134,1.19033714655308,0.510653904107809,2.33100567131232,0.0197530606360592,0.190066499483989
"1110012L19Rik",376.132966965732,0.234982288517776,0.363155711003935,0.647056569393257,0.517595332285775,0.847868325513683
"1110013H19Rik",13.9606926387931,-0.0495857307271509,0.946386262542931,-0.0523948124457286,0.958214107510197,0.992016427020619
"1110019D14Rik",101.244271336442,0.832664028742741,0.629987799822931,1.32171452999054,0.186263228413349,0.589657735651812
"1110020A21Rik",4.23405014165027,3.71596454325321,3.10342377466431,1.19737580590493,0.231160109444493,NA
"1110032A03Rik",592.707479236047,0.190634878814619,0.321057257973262,0.593772213772832,0.552664475981837,0.862054659454319
"1110035H17Rik",20.5179060024992,0.0186261813756118,1.24905372859334,0.0149122339169415,0.988102199753893,0.997431832898863
"1110038B12Rik",24.1344653186691,-0.559928793449102,1.30963869985303,-0.427544477352371,0.668982796701498,0.907223205797638
"1110038F14Rik",538.071937943689,0.0389003073386119,0.226465461440183,0.171771479373629,0.863617188385801,0.96897249671837
"1110046J04Rik",2.86599437348835,5.64243733947854,5.41675845453035,1.04166308814443,0.297567908045012,NA
"1110051M20Rik",526.932953150507,0.374311592909375,0.338333760399053,1.10633828698587,0.268580125879446,0.680367704099734
"1110059E24Rik",681.314553471841,-0.201762832636864,0.283461955392998,-0.711780994938583,0.476600403153578,0.825715570392813
"1110059G10Rik",971.038218463032,0.0382009706172977,0.265614260649661,0.143821233558253,0.885641635236893,0.974932468333824
"1110065P20Rik",111.25913537009,0.0934923055164526,0.462033766188026,0.202349508538745,0.83964349817316,0.963526450725446
"1190005I06Rik",3.29143052495865,4.03232007349679,2.89109900685771,1.3947360723144,0.1630954428493,NA
"1190007I07Rik",101.93500245034,0.357027560331479,0.430843435901465,0.828671230848534,0.407290469281812,0.789061176741992
"1300002E11Rik",216.283762235609,-0.426443706490874,0.416928703692949,-1.02282165443071,0.306392177566159,0.718331340157777
"1300014J16Rik",16.0274629165533,-0.155280167230655,1.50383086371887,-0.103256404012521,0.917759475166592,0.98356662746483
"1300017J02Rik",2.98730156719745,-1.85399769093446,1.9079977493906,-0.971698049186173,0.331200787583133,NA
"1500002C15Rik",54.7745848349786,1.09578979387637,0.829919886862267,1.32035611053893,0.186716149849771,0.590168621516016
"1500004A13Rik",273.103426312788,0.259581691265408,0.419778540119815,0.618377707424771,0.53632638918165,0.855991565402767
"1500011B03Rik",362.745784320044,-0.153272955890033,0.386036387724105,-0.397042767894656,0.69133592291625,0.918963573038227
"1500015A07Rik",61.3964152488107,-1.49198128752764,0.955070603194854,-1.56216857951312,0.118248280468588,0.486994471875867
"1600002K03Rik",115.992273093512,0.534770415402495,0.418843437385198,1.27677878574634,0.201680357183522,0.608496285367602
"1600010M07Rik",116.85206604499,-0.472761943220713,0.632289719562402,-0.747698291770273,0.454642161766814,0.816377625554765
"1600012H06Rik",2056.7025675454,-0.0165057426477827,0.171386752066916,-0.0963069925109393,0.92327675768364,0.984715768877917
"1600014C10Rik",2713.59924906258,0.28572382838374,0.195722563465685,1.45984102867033,0.144333769582184,0.52925126689919
"1600020E01Rik",256.567443524018,-0.127487403968885,0.531847897360022,-0.239706511206878,0.810557786879492,0.958742992831666
"1600022D10Rik",277.467226102028,0.746309910893508,0.481995363817878,1.54837570424329,0.121531867233117,0.491479611559911
"1700001C19Rik",133.347590876494,-0.103025149207913,0.567546331983731,-0.181527292842879,0.855953712412659,0.967026598982241
"1700001G11Rik",6.21966773715078,0.0670185583091833,1.61588388651696,0.0414748602101861,0.966917334250568,NA
"1700001L05Rik",6.20858597217752,-3.67103945824834,2.7130084567908,-1.35312495951111,0.176015713096364,NA
"1700003E16Rik",3.38282934696052,8.91801144338123,4.80839431474017,1.8546755651971,0.0636425701056532,NA
"1700003F12Rik",40.1827472864494,1.12843512602515,0.731552238101363,1.54252159620731,0.122946894085476,0.493587558187886
"1700003G18Rik",3.94099944564832,3.1704720276705,4.03153531476963,0.786418021951934,0.431622628688106,NA
"1700007L15Rik",18.3816719607489,-0.0292858149271516,1.51546984519155,-0.0193245778001277,0.984582177338718,0.997431832898863
"1700008J07Rik",65.488950927966,0.334189006755748,0.652733568357012,0.51198379087034,0.608662353866886,0.881896104139177
"1700008O03Rik",6.32025081236314,-0.0743694569457873,2.25313928551799,-0.0330070393001425,0.973668974151673,NA
"1700009J07Rik",41.0846339359247,2.00313151117669,0.891823341381221,2.24610796581565,0.0246970932443398,0.215583839197284
"1700010I14Rik",80.4881757954267,0.09059279884003,0.890564562490523,0.101725133309461,0.918974852130992,0.983790548671499
"1700012D14Rik",375.160832871721,-0.310878416427404,0.484207528380143,-0.642035487278378,0.520850141670473,0.849500522884797
"1700014D04Rik",10.0231103463821,1.69798098012273,2.10681978369257,0.805945051999995,0.420274532727936,0.797615794619182
"1700016K05Rik",1.770240078866,-3.93149955890841,3.03822773901483,-1.29401081703745,0.195661684469529,NA
"1700017B05Rik",17764.907828462,-0.439124487993087,0.25365550332944,-1.73118454844942,0.0834188543384939,0.415376312086247
"1700018L02Rik",21.0721955908283,0.913842292806905,1.07738261910328,0.848205898817554,0.396323312683112,0.782629676965195
"1700019D03Rik",36.3006120586567,-2.54350791966744,1.23124854450684,-2.06579567627931,0.0388477765419165,0.277679278052459
"1700020N01Rik",29.8329592338423,0.454925318793252,1.29392403535558,0.351585801301106,0.725148915100083,0.930669307430036
"1700021F05Rik",433.915909351339,0.0912210338106757,0.2028216954732,0.449759743886615,0.652883687552868,0.901912649305596
"1700022I11Rik",22.6020421619655,0.249086520437143,0.627885288015434,0.396707050143562,0.691583500642244,0.919156154683831
"1700022N22Rik",6.55715347218832,0.239192840729832,1.91509457997833,0.124898709040542,0.900603740405495,NA
"1700025G04Rik",137.287697191816,-1.21934614870662,0.665404404904784,-1.83248884395513,0.0668786223406643,0.368975299510706
"1700025N23Rik",9.56328274237653,2.34027174926796,1.89723830197318,1.23351491841273,0.217383714290095,0.629731113798306
"1700028E10Rik",390.651468576659,-0.236141819599308,0.419584270295463,-0.562799504931445,0.573571417471214,0.871178841138141
"1700028J19Rik",11.1889010204406,-0.212956841983178,2.08062126239313,-0.102352526061487,0.918476864413506,0.98356662746483
"1700028K03Rik",15.118232889977,-0.293732369603576,2.21700403174477,-0.132490679041486,0.894596195080657,0.976967876138599
"1700028N14Rik",12.9510369451548,0.854314689539474,1.01283010311936,0.843492592596052,0.3989530067903,0.784001812182223
"1700029I15Rik",19.5697738554995,1.52930721579807,1.50417383183371,1.01670909534022,0.309291837661173,0.720429806181382
"1700029J07Rik",75.5581988826567,-1.9389603627324,1.28113073728607,-1.51347579626406,0.130158844642724,0.507836754697073
"1700030J22Rik",43.5377339680487,-1.4066155478456,1.36205790653531,-1.03271347062155,0.301738007698468,0.714895059184511
"1700030K09Rik",465.12546277927,0.582136239264426,0.324538161725772,1.79373740261806,0.072855092401939,0.389425820265044
"1700034I23Rik",16.5368820286197,2.4980803701047,2.43340541839139,1.02657795993405,0.304619236610154,0.71763542774131
"1700037C18Rik",220.566068474979,0.153205280079323,0.512619060907766,0.298867700721119,0.765040992444328,0.943349990299662
"1700037H04Rik",299.29992052785,0.137303552725391,0.376597067716503,0.364590073836557,0.715417425489219,0.926465183519893
"1700040D17Rik",6.9210448092105,1.95986400421465,2.48321649148958,0.789244115819725,0.429969342189748,NA
