course_name,lesson_name,question_number,correct,attempt,skipped,datetime,student_id
Exploratory_Data_Analysis,Exploratory_Graphs,45,TRUE,1,FALSE,2025-07-15 00:08:38.87546,1
Exploratory_Data_Analysis,Exploratory_Graphs,49,TRUE,1,FALSE,2025-07-15 00:13:46.96137,1
Exploratory_Data_Analysis,Exploratory_Graphs,50,TRUE,1,FALSE,2025-07-15 00:14:25.44282,1
Exploratory_Data_Analysis,Exploratory_Graphs,51,TRUE,1,FALSE,2025-07-15 00:16:47.89263,1
Exploratory_Data_Analysis,Exploratory_Graphs,52,TRUE,1,FALSE,2025-07-15 00:16:54.50913,1
Exploratory_Data_Analysis,Exploratory_Graphs,53,TRUE,1,FALSE,2025-07-15 00:18:23.93037,1
Exploratory_Data_Analysis,Exploratory_Graphs,55,TRUE,1,FALSE,2025-07-15 00:20:13.86649,1
Exploratory_Data_Analysis,Exploratory_Graphs,58,TRUE,1,FALSE,2025-07-15 00:21:46.49198,1
Exploratory_Data_Analysis,Exploratory_Graphs,59,FALSE,1,FALSE,2025-07-15 00:22:22.00878,1
Exploratory_Data_Analysis,Exploratory_Graphs,59,TRUE,2,FALSE,2025-07-15 00:22:32.88384,1
Exploratory_Data_Analysis,Exploratory_Graphs,60,TRUE,1,FALSE,2025-07-15 00:24:04.57471,1
Exploratory_Data_Analysis,Exploratory_Graphs,61,TRUE,1,FALSE,2025-07-15 00:24:57.02644,1
Exploratory_Data_Analysis,Exploratory_Graphs,62,TRUE,1,FALSE,2025-07-15 00:25:22.09245,1
Exploratory_Data_Analysis,Exploratory_Graphs,65,TRUE,1,FALSE,2025-07-15 00:25:58.15091,1
Exploratory_Data_Analysis,Exploratory_Graphs,66,TRUE,1,FALSE,2025-07-15 00:26:58.32336,1
Exploratory_Data_Analysis,Exploratory_Graphs,67,TRUE,1,FALSE,2025-07-15 00:27:36.66234,1
Exploratory_Data_Analysis,Exploratory_Graphs,69,TRUE,1,FALSE,2025-07-15 00:28:04.29513,1
Exploratory_Data_Analysis,Exploratory_Graphs,72,FALSE,1,FALSE,2025-07-15 00:28:29.53285,1
Exploratory_Data_Analysis,Exploratory_Graphs,72,TRUE,2,FALSE,2025-07-15 00:28:51.47294,1
Exploratory_Data_Analysis,Exploratory_Graphs,73,TRUE,1,FALSE,2025-07-15 00:28:59.34415,1
Exploratory_Data_Analysis,Exploratory_Graphs,74,TRUE,1,FALSE,2025-07-15 00:29:09.31109,1
Exploratory_Data_Analysis,Exploratory_Graphs,76,NA,1,FALSE,2025-07-15 00:29:18.06734,1
Exploratory_Data_Analysis,Graphics_Devices_in_R,7,TRUE,1,FALSE,2025-07-15 00:30:33.87408,1
Exploratory_Data_Analysis,Graphics_Devices_in_R,10,TRUE,1,FALSE,2025-07-15 00:32:12.50715,1
Exploratory_Data_Analysis,Graphics_Devices_in_R,11,TRUE,1,FALSE,2025-07-15 00:33:10.46051,1
Exploratory_Data_Analysis,Graphics_Devices_in_R,12,TRUE,1,FALSE,2025-07-15 00:33:21.54789,1
Exploratory_Data_Analysis,Graphics_Devices_in_R,13,TRUE,1,FALSE,2025-07-15 00:33:47.01097,1
Exploratory_Data_Analysis,Graphics_Devices_in_R,14,TRUE,1,FALSE,2025-07-15 00:34:16.96507,1
Exploratory_Data_Analysis,Graphics_Devices_in_R,15,TRUE,1,FALSE,2025-07-15 00:34:22.80378,1
Exploratory_Data_Analysis,Graphics_Devices_in_R,25,TRUE,1,FALSE,2025-07-15 00:35:34.63395,1
Exploratory_Data_Analysis,Graphics_Devices_in_R,26,TRUE,1,FALSE,2025-07-15 00:35:44.89114,1
Exploratory_Data_Analysis,Graphics_Devices_in_R,27,TRUE,1,FALSE,2025-07-15 00:35:51.62862,1
Exploratory_Data_Analysis,Graphics_Devices_in_R,30,TRUE,1,FALSE,2025-07-15 00:36:27.34603,1
Exploratory_Data_Analysis,Graphics_Devices_in_R,31,TRUE,1,FALSE,2025-07-15 00:36:33.31771,1
Exploratory_Data_Analysis,Graphics_Devices_in_R,32,TRUE,1,FALSE,2025-07-15 00:37:19.77276,1
Exploratory_Data_Analysis,Graphics_Devices_in_R,33,TRUE,1,FALSE,2025-07-15 00:37:27.087,1
